ID (do not change),Electronic Methods,build-trust,efficient,educate,build-relationships,engage-under-represented,social-research-on-fishery,inform,solicit-input,involve,collaborate,empower
websites,11.  Websites,Websites are not focused on trust building.,"Websites are an ideal way to efficiently prove information to a virtually limitless audience. Web design may be costly and time intensive up front, but once the site goes live, upkeep is usually minimal. ",Websites can be critical opportunities to educate stakeholders who are new to an issue about how to best engage in the decision making process.,Websites are not focused on trust building.,Websites are not an effective tool for engaging underrepresented groups.,"Websites, on their own, are not an effective means of gathering fishery data.","This is the primary purpose of websites, particularly for resource management issues. ",Requesting that stakeholders provide input on a management issue via a website can facilitate the capturing and organization of public comment.,Websites are primarily geared to one-way communication.,Websites are primarily geared to one-way communication.,Websites are primarily geared to one-way communication.
collaborative-research,1.  Collaborative Fisheries Research,"Collaborative fisheries research relies on a close partnership between fishery users and managers, and by its nature engenders a high level of trust.  ", Collaborative fisheries research is time consuming and costly. ,"The high level of coordination between fishery users and managers needed for collaborative fisheries research requires that all participants have a very detailed understanding of roles and responsibilities in the research and decision making processes. As such, all stakeholders and managers must be educated on how they are expected to participate in the research collaborative. ",A commitment to collaborative fisheries research requires and aids in the development of close relationships with participating fishery users. ,"Collaborative fisheries research could be targeted to underrepresented groups, but has not been to any significant extent.",Supporting research is the primary function of Collaborative fisheries research. ,"Those who participate in collaborative fisheries research become very well informed on fisheries issues, although this is not an efficient method for informing large numbers of stakeholders.  ",If the collaborative fisheries research project is designed to solicit input on management of the fishery then this strategy is highly effective. ,This strategy requires the in-depth involvement of stakeholders in fisheries management. ,Collaborative fisheries research requires a high degree of coordination and collaboration between stakeholders and fisheries managers. ,"If the collaborative fisheries research project is designed to solicit input on management of the fishery, then this is one of two strategies that empowers stakeholders to participate more directly in the decision making process for the fishery, via the generation of relevant data. Co-management is the other strategy. "
co-management,2.  Co-management regimes,"Co-management regimes engage stakeholders as direct partners in fisheries management. Because this strategy includes stakeholders as peers in the decision making process, a high level of trust is inherent in its implementation. ",Co-management regimes can take a long time to put into place and will not be appropriate for all fisheries. ,"Since stakeholders are peers with fisheries managers in this strategy, they quickly become educated on how to participate directly in management decisions. ","In order to successfully co-manage a fishery, key stakeholders and managers must invest significant resources in building close relationships with each other. ","Although co-management may be used with underrepresented groups, this is not necessarily a goal for this strategy. That said, if successfully implemented, it is an excellent means of building strong relationships with underrepresented groups. ",Co-management generally requires some degree of collaborative fisheries research. ,"Although this is not the primary goal of co-management, direct participation in management of the fishery requires that both stakeholders and fisheries managers keep each other informed. ",This strategy requires constant information sharing between stakeholders and fisheries managers.,This strategy requires in depth involvement of stakeholders and fisheries managers in all decisions. ,"By its nature, this strategy requires constant collaboration between stakeholders and managers in all fisheries management decisions. ","Along with collaborative fisheries research, this one of only two strategies that empowers stakeholders to participate directly in fisheries management decisions."
conference-calls,3.  Conference calls,"As a rule, conference calls are generally not a preferred way to build trust since they do not involve face-to-face contact, and especially if any level of distrust already exists between two parties with disparate opinions on fisheries management issues. ",Conference calls are a fast and relatively cheap means of reaching a large number of stakeholders. ,Conference calls are limited in the information they can convey and less effective than other available tools for educating stakeholders about decision making processes.,"Conference calls are a good way to maintain relationships once established, but as a rule are not a productive means of building new relationships with key stakeholders. ","Conference calls may be detrimental to engaging underrepresented groups, especially if there are linguistic differences between stakeholders and fisheries managers. ",Conference calls are not an effective method for supporting research into fisheries management.,This strategy is an excellent means of providing information to a large body of stakeholders in a short period of time. ,"Conference calls may be an effective means of soliciting input from stakeholders, but they must be carefully facilitated. ","Conference calls can be an effective means of engaging in dialogue; however, if used as the sole means for involving stakeholders in decision-making processes, they will likely be limited in effectiveness.",Conference calls are not an effective means of collaborating if used as the only outreach strategy. A high level of trust and strong relationships would need to be developed first.,Conference calls are not an effective means of empowering stakeholders.
education-programs,4.  Education Programs (re: engagement process),Educating stakeholders on how to participate in the management process provides them with the information needed to make well informed decisions and helps build trust.  ,Educational programs can be time and resource intensive to develop and reach only a limited number of stakeholders.,Educational programs focused on educating stakeholders about decision making processes are the most targeted way of achieving this goal. ,"Ensuring stakeholders have a complete understanding of how to participate in fisheries management processes, and provides an excellent venue for building relationships with key stakeholders.  ","This strategy may be useful for reaching out to and educating undereducated groups, as long as the education programs are linguistically and culturally appropriate. ",Education programs are not designed to support social or biological research on the fishery.,Education programs are an excellent means of providing information to stakeholders about a fisheries management process and how regulatory decisions are made. ,Education programs are intended to provide information on the fishery management process rather than solicit input on management decisions.,Education programs are not intended to result in direct involvement of stakeholders in fishery management decision-making.,This is not a core function of education programs.,This is not a core function of education programs.
fishery-association-meetings,5.  Fishery Associations Meetings,Meeting with stakeholders in fishery associations on their time shows direct interest in their views and is an excellent means of building trust. ,"Affected stakeholders often attend association meetings en masse, providing a single venue to meet with a large number of impacted individuals in one venue. ","Although this is not the primary purpose of this strategy, association meetings provide the opportunity for managers to present on the best way to participate in any fishery management processes. ","Similar to building trust, attending association meetings provide an ideal opportunity to build relationships with key stakeholders. ",Underrepresented groups may not be active participants in fishery associations. ,Fishery association meetings are not an effective tool for conducting fishery research.,"Fishery managers can present information at association meetings, providing an excellent means ",Association meetings provide an opportunity to solicit input from stakeholders.,Association meetings can be a good venue to exchange in two-way dialogue and involve stakeholders in the decision making process.,Fishery association meetings are not designed to support collaborative fishery management.,Fishery association meetings are not an effective means to empower fishery co-management.
informal-meetings,"6.  Informal meet-and-greet meetings (small groups, close to the docks)","Meeting with stakeholders on the docks (where all fisheries users must return and depart from) is an excellent means of building trust and relationships on their time, and may be less of an imposition than other engagement strategies. ","Although this strategy does provide an excellent means of meeting many fisheries users, it is time and resource intensive. ","Although this is not the primary goal of the strategy, it does provide an excellent opportunity to educate stakeholders on the best way to get and stay engaged in management processes. ","Meeting with stakeholders on the docks (where all fisheries users must return/depart from) is an excellent means of building trust and relationships on their time, and may be less of an imposition than other engagement strategies.",Providing fisheries management staff at the docks is the single best way to engage underrepresented groups since all fishers must depart and return to the docks. ,Informal meet-and-greets are not an effective tool for conducting large-scale fisheries research.,This strategy provides an excellent opportunity for fisheries management staff to provide information directly to fisheries users. ,This strategy provides an excellent opportunity to solicit input from individual stakeholders directly,"Although this approach is not efficient, it does create the conditions for candid dialogue.",Informal meet-and-greets are not an effective tool for developing collaborations between stakeholders and managers.,Informal meet-and-greets are not an effective tool for empowering stakeholders to engage in co-management of a fishery.
key-communicators,7.  Key Communicators (formal or informal),Building strong relationships with key communicators and leveraging their position within an affected stakeholder community can significantly enhance trust of fisheries managers within a fishery.,Leveraging relationships with key communicators to use them as conduits for information sharing from fisheries managers to the broader stakeholder community is extremely effective.,"Key communicators are an effective means for educating other stakeholders. Key communicators are often those that are advising other stakeholders of processes, serving as liaisons, or even participating in education programs to teach stakeholders and advocate for engagement capacity building.","Building relationships is the primary focus of the key communicators strategy. Since key communicators are often leaders within their communities, working through them inherently builds relationships. ",Leveraging relationships with key communicators is an ideal means of reaching out to underrepresented groups within the fishery if specific leaders can be found within those communities.,This is not a core function of working with key communicators.,Key communicators are extremely effective as a conduit for information sharing between managers and stakeholders.,Key communicators can be used to solicit input from their constituencies and relay that information to managers as needed. ,Key communicators can effectively represent others when involved in management decision making processes. ,Key communicators can effectively represent others when involved in collaborative management decision-making processes.,This is not a not a core function of working with key communicators
listening-sessions,8.  Listening Sessions,"Since this strategy involves 1-way communication (stakeholders provide input to managers with no expectation of collaboration) it often does not build trust, especially if there is already a condition of distrust in the community. However, since it can involve managers seeking input directly from the affected community in situations where they may feel not heard, it can help build trust in those situations. ","Listening sessions provide an effective means of rapidly engaging and soliciting input from a large audience. Given limited resources of many fisheries users, fishermen may not be able to attend time-intensive listening sessions. ","Listening sessions are designed to receive information from stakeholders, rather than disseminate information or educate stakeholders.","Listening sessions provide an opportunity for fishery stakeholders to interact with a manager, but are not specifically designed to provide solutions and may, especially those with a plenary comment period, simply provide an echo chamber for detractors to amplify their concerns on a fishery management issue.  ","Since listening sessions are generally announced to a wide audience and are always open to the general public, they can be an effective means of engaging underrepresented groups. ",Listening sessions are not an effective strategy for engaging in focused fishery research.,"Listening sessions generally include an opening presentation to ground participants in the project/process at hand. Although the information provided is generally brief, it does provide solid background information to all attendees at once. ",Soliciting input is the primary purpose of listening sessions. ,Listening sessions are not focused on two-way dialogue or engagement.,Listening sessions are not designed to improve collaboration between managers and stakeholders,Listening sessions are not an effective tool for empowering stakeholders for fishery co-management.
open-house,9.  Open House meetings,Open houses provide excellent opportunities for stakeholders to have detailed discussions with agency staff; they do not typically establish trust if there is a history of distrust.,Open houses are an excellent means of engaging a large segment of the affected community at a single event and can help lay the groundwork for more in-depth engagement. ,This strategy provides an excellent means of providing uniform information on a fisheries management decision-making process to a large cross-section of stakeholders in a single event. ,Open houses provide excellent opportunities for stakeholders to have detailed discussions with agency staff and begin to develop personal relationships.,"Open houses may be an excellent means of reaching out to previously unrepresented groups, only if the groups can be identified and invited to attend. ",Open houses are not designed to support fishery research.,Open houses are one of the best strategies for informing stakeholders on a range of fisheries management issues. ,"Open houses are good opportunities to invite informed input from stakeholders, as stakeholders have the opportunity to engage with agency staff and subject matter experts prior to making their comments.","Open houses encourage two-way engagement between stakeholders and agency staff, although they are not typically used to involve stakeholders in the decision making process.",Open houses are not an effective tool for encouraging stakeholder collaboration.,Open houses are not an effective tool for empowering stakeholders.
phone-calls,10.  Phone Calls (ad hoc),"Phone calls entail personal, one-on-one communication that is important for trust building, and are more effective for trust building than individual emails.","While phone calls can be conducted easily, they are not an efficient way to engage with large numbers of stakeholders.","Phone calls can be used to educate stakeholders about decisions making processes, although they are often used for other reasons. ","Phone calls entail personal, one-on-one communication that is important for relationship building.","Phone calls can be an effective way of initially contacting individuals from underrepresented groups, provided that these individuals and their contact information can be identified.","Phone calls can be used to conduct research, although ","Phone calls can be used to conduct research, although they are not an efficient means of collecting information on large groups of people, and individuals who participate may not be representative of all fishery stakeholders.","Phone calls can be used to solicit stakeholder input, although they are more typically used for interviews and assessments than specific feedback on proposed management measures.","Phone calls can use used to involve individual stakeholders in dialogue about a management issue, although this communication is usually more informal and ad hoc.","Phone calls can use used behind the scenes to support ongoing collaborative processes (e.g., to check in with individual collaborators).",Agency staff can use phone calls to stay in close contact with stakeholders participating in co-management efforts. 
public-hearings,11.  Public Hearings/Oral Testimony,"This strategy is not designed to build trust; it can often erode trust if it is the only engagement strategy employed by serving as an echo chamber that reinforces existing stakeholder views without providing an opportunity for two way, collaborative dialogue. ","Many stakeholders are used to attending public hearings for the purpose of providing testimony. This is a known strategy for many constituencies, and public hearings often have standing dates known well in advance. However, similar to other time intensive, in-person meetings, some fisheries users may not have the resources to attend. ",Public hearings are designed to allow the public an opportunity to give testimony; they may not include time to educate stakeholders.,Public hearings are not an effective tool for building relationships with stakeholders.,Public hearings are not explicitly designed to engage underrepresented groups.,Public hearings are not an effective venue for collecting data on a fishery.,"Public hearings often involve some sharing of information generally through a presentation prior to public testimony being provided. Given that many stakeholders often show up to provide testimony, these hearings then provide potentially important opportunities to share important information as well.",This strategy provides an extremely efficient venue for soliciting input on specific management decisions and regulatory processes. It is often reserved for formal regulatory processes only. ,Public hearings are not structured to be dialogic.,Public hearings are not an effective tool for building collaborations with stakeholders.,Public hearings are not an effective tool for empowering stakeholders.
stakeholder-advisory-groups,12.  Stakeholder Advisory Groups (ad hoc/bounded charter),"This strategy provides the opportunity for direct interaction between stakeholders with potentially disparate opinions over time. Because resources are committed to improving relationships as part of the advisory group process, they can be an excellent means of building trust. ","Advisory groups are time intensive and costly, and may not be appropriate if resources are extremely limited. They also require large commitments to participate from stakeholders.","While not explicitly formed to educate stakeholders about decision-making processes, advisory group processes typically start by creating a governance and decision-making structure (charter). This process not only educates stakeholder about how to participate in the process, but also gives them the ability to shape how decisions are made.","This strategy is highly effective at building relationships with between resource managers and fisheries participants, since it involves a significant amount of 1:1 or small group interactions over an extended period of time. ","Typically this strategy involves selecting stakeholders who can reasonably represent a significant interest within the community. As such, advisory groups are geared more towards established entities than underrepresented groups. ",Stakeholder advisory groups are typically not created for research purposes but rather to inform policy and planning decisions. ,This strategy is highly effective at informing stakeholders of fisheries management issues since it requires significant interaction with fisheries managers. ,Soliciting input from stakeholders is one of three primary functions of advisory groups. The others are involving stakeholders in the decision making process and collaborating directly on fisheries management issues. ,Involving stakeholders in the decision making process is one of three primary functions of advisory groups. The others are informing stakeholders and collaborating directly on fisheries management issues.,Collaborating stakeholders is one of three primary functions of advisory groups. The others are involving stakeholders in the decision making process and soliciting input on fisheries management issues.,"Depending on how the advisory group is structure, stakeholders may have the opportunity to participate directly in the decision making process/management of the fishery. This is typically not the primary goal of advisory groups, but many co-managed fisheries also have an advisory body. "
stakeholder-advisory-groups,13.  Stakeholder Advisory Group (standing),"This strategy provides the opportunity for direct interaction between stakeholders with potentially disparate opinions over time. Because resources are committed to improving relationships as part of the advisory group process, they can be an excellent means of building trust. ","Advisory groups are time intensive and costly, and may not be appropriate if resources are extremely limited. They also require large commitments to participate from stakeholders.","While not explicitly formed to educate stakeholders about decision-making processes, advisory group processes typically start by creating a governance and decision-making structure (charter). This process not only educates stakeholder about how to participate in the process, but also gives them the ability to shape how decisions are made.","This strategy is highly effective at building relationships with between resource managers and fisheries participants, since it involves a significant amount of 1:1 or small group interactions over an extended period of time. ","Typically this strategy involves selecting stakeholders who can reasonably represent a significant interest within the community. As such, advisory groups are geared more towards established entities than underrepresented groups. ",Stakeholder advisory groups are typically not created for research purposes but rather to inform policy and planning decisions. ,This strategy is highly effective at informing stakeholders of fisheries management issues since it requires significant interaction with fisheries managers. ,Soliciting input from stakeholders is one of three primary functions of advisory groups. The others are involving stakeholders in the decision making process and collaborating directly on fisheries management issues. ,Involving stakeholders in the decision making process is one of three primary functions of advisory groups. The others are informing stakeholders and collaborating directly on fisheries management issues.,Collaborating stakeholders is one of three primary functions of advisory groups. The others are involving stakeholders in the decision making process and soliciting input on fisheries management issues.,"Depending on how the advisory group is structure, stakeholders may have the opportunity to participate directly in the decision making process/management of the fishery. This is typically not the primary goal of advisory groups, but many co-managed fisheries also have an advisory body. "
tackle-shops,14.  Tackle Shops (information available at check-out/storefront),Leaving flyers at the docks or a tackle shop can help to share information but does not build trust.,Leaving materials at tackle shops is an excellent way to deliver material to a targeted audience. The time it takes to distribute materials and resources required to design them can be significant. ,Information left at these venues can be used to educate stakeholders on how to get involved in the decision making process.,Leaving flyers at the docks or a tackle shop can help to share information but does not build relationships.,"Similar to informal meetings at docks, tackle shops are the one location that all anglers visit at some point. As such, they are excellent way to provide informational materials to underrepresented groups. ","This tool is designed for information sharing, not data collection.",This strategy provides an ideal opportunity to provide information directly to anglers. ,"This tool is designed for information sharing, not to solicit input from stakeholders.",This form of information sharing is one-way rather than two-way. ,Information sharing at fuel docks or tackle shops is not an effective manner to increase collaboration.,This is not an effective tool for increasing empowerment amongst stakeholders.
town-hall,15.  Town Hall-Style Meetings,"Town hall meetings are used primarily to present information or solicit input from the community at large, but may not include the conditions needed to build trust (especially if there is a history of distrust between stakeholders and fisheries managers).","Town halls are an effective means of providing or receiving information from a diverse set of stakeholders in a single venue, but travel time and staff resources may be significant depending on where meetings are held. ","Town hall meetings can be used to share information about decision-making processes, but this is usually not their primary purpose.","Town hall meetings are used primarily to present information or solicit input from the community at large, allowing face to face dialogue but may not include the conditions needed to build relationships between managers and stakeholders.",Town hall meetings are primarily used to present information rather than to directly engage with underrepresented groups.,Town hall meetings are not an effective tool for conducting fishery research.,This strategy provides an excellent means of presenting uniform information to a diverse and potentially large group of stakeholders in a single venue. ,"Town hall meetings are opportunities to solicit public input, although the utility of the input to resource managers may vary.  Town hall meetings also provide the public with opportunities to share concerns about broader topics.",Town hall meetings can be structured to be more dialogic on key management topics.,Town hall meetings are not intended to improve collaboration with stakeholders.,Town hall meetings are not an effective tool for empowering stakeholders in fishery co-management.
trade-shows,16.  Trade Shows (booth with information),Providing the opportunity for staff to interact with stakeholders outside of a formal venue can help engender trust. ,"Attending trade shows may provide a good opportunity to disseminate information to a large group, but can be time consuming and expensive, and their efficacy is dependent on a high public turnout and interest in the agency booth. ",Trade shows provide an excellent opportunity for stakeholders to learn how to get involved in a management process.,"Given the usually short period of interaction between staff and stakeholders at trade shows, they are marginally effective at building relationships. However, they do provide an excellent opportunity to identify key contacts within the stakeholder community and schedule follow up discussions as needed.  ",Stakeholders who may not normally be involved in other fisheries management outreach or engagement efforts may attend trade shows based on personal interest. ,Trade shows are not an effective venue for collecting data on a fishery.,This strategy provides an excellent opportunity for fisheries managers to provide information to a focused subset of the stakeholder community. ,Trade shows are not an effective means of soliciting input on fishery processes and management.,Trade shows are not an effective means of improving two-way dialogue with stakeholders.,Trade shows are not an effective means of improving collaboration with stakeholders.,Trade shows are not an effective means of empowering stakeholders.
workshops,17.  Workshops,"Workshops may provide an excellent opportunity for trust building exercises and interactions with fisheries managers, depending on workshop design. ","Although generally time and resource intensive, workshops can provide fisheries managers with the opportunity to meet with a large group of diverse interests in the same venue. ","Depending on workshop design, this strategy can provide fisheries managers with a good opportunity to educate stakeholders on how to get involved in fisheries management processes. ",A combination of small group and plenary sessions at most workshops provides fisheries managers and key stakeholders with the opportunity for meaningful interactions. ,Typically workshops focus on well-established stakeholder groups in a particular fishery. ,Workshops are not an efficient or effective manner of conducting fishery research.,Plenary presentations and direct interactions with resource managers make workshops a good opportunity for stakeholders to learn about fisheries management processes. ,This strategy provides significant opportunities for stakeholders to provide input on fisheries management decisions to managers.,Workshops designed around activities such as design charrettes provide excellent opportunities for stakeholders to provide direct input on decision making processes. ,"Problem-solving focused activities (e.g., for brainstorming purposes) can play an effective role within broader collaborative processes as a way of engaging broader stakeholder representatives.",Workshops are not an effective or efficient tool for empowering stakeholders.
